장비분류(중분류),장비분류(소분류),장비명(영문),모델명,제작국가,제작사,도입일자,유휴불용,이용료(원/시간),기관명,기관유형
재료물성시험장비,진동내구시험장비,6 Degree of Freedom-Multi axial Simulation Tables,323.40 MAST,미국,Mts,2011-07-29,활용,100000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,진동내구시험장비,Combined Environmental Electro Dynamic Vibration System,"DA70,EDS7000-480,GT600M&GT1200,HE1300S-400M",중국,DONGLING,2009-10-20,활용,60000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,진동내구시험장비,Combined Environmental Long Stroke Electro Dynamic Vibration System,"DA40,EDS4000LS-445,GT600M,HE600S-445M",대한민국,(주)팜테크,2009-10-20,활용,50000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,진동내구시험장비,Combined Environmental Small Electro Dynamic Vibration System,"DA-6,EDS600-230,GT400M",중국,DONGLING,2009-10-20,불용,33000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,가속수명시험기,Ozone Weather Chamber,ITC-OWC-500,대한민국,인터네셔날테크닉,2008-08-25,불용,5000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,진동내구시험장비,Electro Dynamic Vibration System,S201LS3-340,대한민국,Sonic&Jinn,2013-12-31,활용,50000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,온습도시험기,L/H Temperature & Humidity Chamber,DS-TH-294,대한민국,대성테크,2008-05-26,불용,8000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,온습도시험기,L/H Temperature & Humidity Chamber,DS-TH-294,대한민국,대성테크,2008-05-26,불용,8000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,온습도시험기,L/H Temperature & Humidity Chamber,DS-TH-294,대한민국,대성테크,2008-05-26,불용,8000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,환경모사시험기,Rain Test Chamber,ITC-RT-1440,대한민국,대성테크,2008-05-26,불용,10000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,염수분무시험기,Salt Spray Test Chamber,DS-SST-498,대한민국,대성테크,2008-05-26,불용,5000,경일대학교산학협력단,사립대학(4년제)
길이/위치/자세측정장비,위치/자세측정장비,Coating Thickness Measurement Instrument,X-Strata 960,영국,Oxford Instruments,2008-05-19,활용,10000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,경도시험기,Vickers Hardness Tester,HM-124,일본,Mitutoyo,2008-05-27,활용,10000,경일대학교산학협력단,사립대학(4년제)
길이/위치/자세측정장비,길이측정장비,Profile Projector,PV-5110,일본,Mitutoyo,2008-05-14,활용,10000,경일대학교산학협력단,사립대학(4년제)
길이/위치/자세측정장비,위치/자세측정장비,Surface Roughness Measurement System,Surfcom 1500SD,일본,Tokyo Seimitsu,2008-05-27,활용,10000,경일대학교산학협력단,사립대학(4년제)
현미경,공구현미경,Measuring Microscope,MM-800/L,일본,Nikon,2008-05-14,활용,10000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,경도시험기,Rockwell Hardness Tester,HR-522,일본,Mitutoyo,2008-05-27,활용,10000,경일대학교산학협력단,사립대학(4년제)
절삭장비,복합장비,3-Axis CNC M/C,VM 960,대한민국,두산인프라코어,2009-08-17,활용,20000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,온습도시험기,L/H Temperature & Humidity Chamber,DS-TH-578,대한민국,대성테크,2008-05-26,불용,8000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,특성평가시험기,Multi Axial Endurance Test Machine System,모델명 없음,미국,Mts,2011-07-29,활용,25000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,열충격시험기,Thermal Shock Chamber,ITC-TSC-D137,대한민국,인터네셔날테크닉,2008-08-25,불용,10000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,열충격시험기,Thermal Shock Chamber,ITC-TSC-D137,대한민국,인터네셔날테크닉,2008-08-25,불용,10000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,열충격시험기,Thermal Shock Chamber,ITC-TSC-D253,대한민국,인터네셔날테크닉,2008-08-25,불용,10000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,열충격시험기,Thermal Shock Chamber,ITC-TSC-D253,대한민국,인터네셔날테크닉,2008-08-25,불용,10000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,분진시험기,Dust Tester Machine,DTC1CF,대한민국,(주)뉴런핏,2013-05-24,불용,10000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,부식시험기,Combined Cyclic Corrosion Tester,JYS-CCT-1000L,대한민국,진영테크,2013-05-24,불용,8000,경일대학교산학협력단,사립대학(4년제)
재료물성시험장비,만능시험기,5MN Large-sized construction material tester,5MN testing machine,일본,Shimadzu,2009-02-26,활용,388000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능피로시험기,5MN Compression tester,CCH-5000kN,일본,Shimadzu,2009-02-26,활용,69000,계명대학교 산학협력단,사립대학(4년제)
환경조성형시설장비,항온/항습시설장비,Temperature control type and Humidity test chamber,BCTH A150DU,대한민국,한창엔지니어링,2009-02-16,저활용,20000,계명대학교 산학협력단,사립대학(4년제)
카메라/영상처리장비,기타특수카메라,Optical Sensor Measurement System,sm130-200,미국,Micron Optics,2009-06-05,저활용,42000,계명대학교 산학협력단,사립대학(4년제)
표면특성측정장비,비표면적/공극도측정장비,Porosimeter,ASAP 2020,미국,Micromeritics,2008-10-09,활용,140000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,특성평가시스템,Freezing and Thawing Apparatus,HJ-3525,대한민국,흥진정밀,2009-06-23,저활용,41000,계명대학교 산학협력단,사립대학(4년제)
분광분석장비,X-선형광분석기,Wavelength Dispersive X-Ray Fluorescence Spectrometer,XRF-1800,일본,Shimadzu,2008-10-31,저활용,100000,계명대학교 산학협력단,사립대학(4년제)
분광분석장비,X-선회절분석기,Multi-Purpose X-ray Diffractometer,XRD-6000,일본,Shimadzu,2008-10-31,저활용,100000,계명대학교 산학협력단,사립대학(4년제)
환경조성형시설장비,풍동/수조시설장비,Thermo regulator type water bath,SCTR-10AW,대한민국,한창엔지니어링,2009-06-16,저활용,11000,계명대학교 산학협력단,사립대학(4년제)
환경조성형시설장비,항온/항습시설장비,Temperature and Humidity Room Chamber,BCTH-A150DU,대한민국,부성,2009-02-16,저활용,18000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능피로시험기,500kN Rolling Fatigue Testing Machine,500kN,미국,Mts,2008-10-09,활용,123000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,음향검사장비,Acoustic Emission Testing and analysing System,2 channel AE System Card 외,미국,Physical Acoustics Corporation(PAC),2009-05-27,저활용,41000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,특성평가시스템,250kN Fatigue tester,MTS 250kN,미국,Mts,2008-10-10,활용,111000,계명대학교 산학협력단,사립대학(4년제)
하드웨어,고성능컴퓨터,Imaging workstation,LEICA DM RE,독일,Leica,2002-04-09,불용,5500,계명대학교 산학협력단,사립대학(4년제)
분리분석장비,액체크로마토그래피,H.P.L.C,2695,미국,Waters,2003-12-17,활용,32000,계명대학교 산학협력단,사립대학(4년제)
성형/가공장비,달리 분류되지 않는 성형/가공장비,OSCILLATOR,DW5-06,대한민국,대원정밀,2007-01-04,활용,8600,계명대학교 산학협력단,사립대학(4년제)
분리정제장비,추출기,super speed no pressure herb extractor,COSMOS-450,대한민국,동이,2008-09-11,활용,6400,계명대학교 산학협력단,사립대학(4년제)
반응/혼합/분쇄장비,달리 분류되지 않는 반응/혼합/분쇄장비,food/sterilizing beverage device,1/2-120-15530,대한민국,퓨리존,2008-12-03,활용,6600,계명대학교 산학협력단,사립대학(4년제)
반응/혼합/분쇄장비,분쇄/파쇄기,Pulverizer,KCFM-48,대한민국,(주)코리아메디,2009-11-04,활용,6500,계명대학교 산학협력단,사립대학(4년제)
분리정제장비,추출기,VACUUM EVAPORATOR WITH WATER BATH,COSMOS-660,대한민국,경서이엔피(주),2009-11-04,활용,6400,계명대학교 산학협력단,사립대학(4년제)
반응/혼합/분쇄장비,균질기,Honogenizer,MICM-200,대한민국,한성분체기계,2009-12-21,활용,7100,계명대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,배양장치,FERMENTER,INNO2006M-500TR,대한민국,이노바이오,2009-12-23,불용,7200,계명대학교 산학협력단,사립대학(4년제)
열유체장비,멸균기,Sterilizer,UHT System,대한민국,삼융엔지니어링,2010-01-06,활용,6800,계명대학교 산학협력단,사립대학(4년제)
분리정제장비,여과기,ULTRA FILTERATION,Tubular Membrane,말레이지아,Porex,2010-01-14,활용,6800,계명대학교 산학협력단,사립대학(4년제)
열유체장비,멸균기,RETORT STERILIZATION,STERI-ACE,대한민국,경한,2010-02-08,활용,6900,계명대학교 산학협력단,사립대학(4년제)
질량분석장비,이차이온질량분석기,INDUCTIVELY COUPLED PLASMA MASS SPECTROMETER,NexION 300D ICP-MS,미국,Perkin Elmer,2014-02-20,활용,45000,계명대학교 산학협력단,사립대학(4년제)
질량분석장비,이차이온질량분석기,INDUCTIVELY COUPLED PLASMA MASS SPECTROMETER,NexION 300D ICP-MS,미국,Perkin Elmer,2014-02-20,활용,41500,계명대학교 산학협력단,사립대학(4년제)
분광분석장비,유도결합플라즈마원자방출분광기,Inductively Coupled Plasma Spectrometer,Optima 7000 DV,미국,Perkin Elmer,2010-12-30,활용,41500,계명대학교 산학협력단,사립대학(4년제)
분광분석장비,수은함량분석기,NFEC-2007-10-004265,NI-20-3D(S),일본,Nippon Instruments Corporation(NIC),2006-02-28,불용,35000,계명대학교 산학협력단,사립대학(4년제)
분리분석장비,액체크로마토그래피,H.P.L.C,2695,미국,Waters,2005-02-18,활용,32000,계명대학교 산학협력단,사립대학(4년제)
장비소프트웨어,연구장비기반소프트웨어,IMAGING ANALYSIS SYSTEM,KOMET 5.5,영국,Andor Technology,2003-11-24,활용,5500,계명대학교 산학협력단,사립대학(4년제)
분리분석장비,자동수질분석기,TN/TP Water Analyzer,Futura,프랑스,Alliance,2010-12-24,불용,35000,계명대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,달리 분류되지 않는 바이오제조/분석장비,INCUBATOR,MIR153,일본,Sanyo,2002-02-28,활용,3050,계명대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,달리 분류되지 않는 바이오제조/분석장비,INCUBATOR,MIR153,일본,Sanyo,2002-02-28,활용,25000,계명대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,달리 분류되지 않는 바이오제조/분석장비,INCUBATOR,MIR153,일본,Sanyo,2002-02-28,활용,30000,계명대학교 산학협력단,사립대학(4년제)
열유체장비,멸균기,AUTO CLAVE,MLS-3780,일본,Sanyo,2002-02-28,활용,5500,계명대학교 산학협력단,사립대학(4년제)
열유체장비,유체정화기,CLEAN BENCH,SW140VS,대한민국,상우과학,2002-01-15,활용,6500,계명대학교 산학협력단,사립대학(4년제)
분광분석장비,자외/가시광분광광도계,SPECTROPHOTOMETER,V-550,일본,Jasco,2003-12-22,활용,10000,계명대학교 산학협력단,사립대학(4년제)
질량/무게/부피/밀도측정장비,전자식저울,ANALYTICAL BALANCE,AB-204S,스위스,Mettler Toledo,2002-07-08,불용,3700,계명대학교 산학협력단,사립대학(4년제)
질량/무게/부피/밀도측정장비,전자식저울,ANALYTICAL BALANCE,METTER AG135,스위스,Mettler Toledo,2002-07-30,불용,3700,계명대학교 산학협력단,사립대학(4년제)
열유체장비,전기/소결로,FURNACE,EYELA TMF3200,일본,Tokyo Rikakikai,2002-08-14,활용,6200,계명대학교 산학협력단,사립대학(4년제)
바이오제조/분석장비,배양장치,incubator,HB1034,대한민국,한백과학(HANBAEK),2002-04-29,활용,50000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능피로시험기,1.2 MN Servo-hydraulic Fatigue Testing System,모델명 없음,미국,Mts,2021-09-02,활용,126000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능시험기,150 kN Dynamic Actuator,24423 G2,미국,Mts,2021-09-02,활용,32500,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능시험기,150 kN Dynamic Actuator,24423 G2,미국,Mts,2021-09-02,활용,32500,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능시험기,250 kN Dynamic Actuator,24431 G2,미국,Mts,2021-09-02,활용,40000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능시험기,250 kN Dynamic Actuator,24431 G2,미국,Mts,2021-09-02,활용,40000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능시험기,500 kN Dynamic Actuator,24441 G2,미국,Mts,2021-09-02,활용,65000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능시험기,500 kN Dynamic Actuator,24441 G2,미국,Mts,2021-09-02,활용,65000,계명대학교 산학협력단,사립대학(4년제)
재료물성시험장비,만능시험기,"1,000 kN Dynamic Actuator",24451 G2,미국,Mts,2021-09-02,활용,110200,계명대학교 산학협력단,사립대학(4년제)
열유체장비,항온/항습기,Environmental Temperature Chamber,모델명 없음,대한민국,Nk테스트,2021-09-02,활용,9100,계명대학교 산학협력단,사립대학(4년제)
하드웨어,저장장치,Data Acquisition System,모델명 없음,대한민국,Nk테스트,2021-09-02,활용,27200,계명대학교 산학협력단,사립대학(4년제)
길이/위치/자세측정장비,달리 분류되지 않는 길이/위치/자세측정장비,3D Scanner,모델명 없음,대한민국,(주)주신산업,2021-09-02,활용,24400,계명대학교 산학협력단,사립대학(4년제)
분광분석장비,유도결합플라즈마원자방출분광기,Nutritional Analysis (14 nutrition facts),Optima 7000 DV,미국,Perkin Elmer,2010-12-30,활용,600000,계명대학교 산학협력단,사립대학(4년제)
현미경,디지털현미경,3D Digital Microscope,KH-8700,일본,Hirox,2013-09-23,활용,18000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,라만분광기,RAMAN,system 1000,영국,Renishaw,2008-11-20,활용,45000,금오공과대학교 공동실험실습관,국공립대학(4년제)
방사선발생/측정장비,달리 분류되지 않는 방사선발생/측정장비,X-ray Flaw detectors,XT H 160,일본,Nikon,2015-10-01,활용,57000,금오공과대학교 공동실험실습관,국공립대학(4년제)
입자분석장비,비표면적측정장비,Brunauer-Emmett-Teller,3Flex,미국,Micromeritics,2016-08-08,활용,36000,금오공과대학교 공동실험실습관,국공립대학(4년제)
온도/열/습도/수분측정장비,열분석기,Differential Scanning Calorimeter,Q2000,미국,Ta Instruments,2013-09-23,활용,42000,금오공과대학교 공동실험실습관,국공립대학(4년제)
신호발생장비,펄스발생장비,Pulse generators,HP81134A,미국,Agilent Technologies,2014-07-10,활용,8000,금오공과대학교 공동실험실습관,국공립대학(4년제)
온도/열/습도/수분측정장비,열분석기,Thermomechanical Analyzer,Q400EM,미국,Ta Instruments,2013-09-23,활용,35000,금오공과대학교 공동실험실습관,국공립대학(4년제)
온도/열/습도/수분측정장비,열분석기,TGA,Q500,미국,Ta Instruments,2005-09-09,불용,28000,금오공과대학교 공동실험실습관,국공립대학(4년제)
온도/열/습도/수분측정장비,열분석기,LFA,LFA 447,독일,Netzsch,2010-07-30,활용,32000,금오공과대학교 공동실험실습관,국공립대학(4년제)
측정시험장비,오실로스코프,Digital Oscilloscope,DPO71604C,미국,Tektronix,2015-08-13,활용,28000,금오공과대학교 공동실험실습관,국공립대학(4년제)
분광분석장비,유도결합플라즈마원자방출분광기,Inductively Coupled Plasma-Optical Emission Spectroscopy,720-ES,미국,Varian,2009-06-12,불용,17000,금오공과대학교 공동실험실습관,국공립대학(4년제)
질량분석장비,플라즈마질량분석기,Inductivity Cupled Plasma- Mass Spectromer,7500,미국,Agilent Technologies,2009-01-05,활용,23000,금오공과대학교 공동실험실습관,국공립대학(4년제)
