사업년도,과제명,연구책임자명,주관기관명,학문단,총연구기간,보고서구분
2023,돼지열병(아프리카 돼지열병 바이러스)의 viral protease와 cell attachment protein의 분자구조규명 및 억제제 발굴,안재우,포항공과대학교,생명과학단,2020-06-01 ~ 2023-03-15,결과보고서
2023,PEX13 기전 연구를 통한 퍼옥시좀 선택적 자식작용 조절 연구,조두신,경북대학교,생명과학단,2020-06-01 ~ 2023-03-31,결과보고서
2023,Culex pipiens complex에 속하는 한국산 빨간집모기와 지하집모기 간의 계통학적 연구,최광식,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,국내의 하천 특성을 고려한 어도시스템 개발 및 검증,이영재,경북대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,도인 및 계혈등의 전신경화증 치료효능과 작용기전 연구,노종성,대구한의대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,식물의 유성생식에서 지질방울의 역할: 환경스트레스 내성과 생식력 보존,황재웅,대구경북과학기술원,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,증강현실 기반의 실시간 대화형 보철물 디자인 시스템,마이항나,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,Streptomyces 균주의 탄소원에 따른 global regulator의 활성화를 활용한 신규항생물질 생산 최적화,권윤,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,인체 내 비타민 D 활성 예측을 위한 대사체 바이오마커 발굴,권미리,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,고효율 퓨란계 재생 플라스틱 생산을 위한 단백질 공학 연구,김상우,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,수전해용 인화 루테늄 삼원계 합금 촉매 합성,칸티카비라즈,경북대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,태양광 연료 생산을 위한 고효율 델라포사이트 복합 광소재 개발,최승요,경북대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,비만에 의한 만성신장질환 악화에서 지질 대사 관련 RNF20 조절을 통한 신보호 효과 규명,김유진,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,콜라겐 유발 인간 혈소판 응집에 대한 국내 토착 곤충의 억제효과 규명,신정해,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,호르몬 저항성 전립선암의 신규 항암 표적유전자 발굴 및 분자 조절기전 연구,정지학,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,건설현장용 로봇에 적용 가능한 실외 영상기반 SLAM 기술 개발,만달소우멘,경북대학교,공학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,다종 활성산소 동시 발생용 전자순환 시스템 개발,양소영,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,스트레스와 치주균-유래 외막소포체에 의한 치조골 소실 기전 규명,인혜정,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,심전도 신호의 직선근사화에 기반한 기준점 검출 및 부정맥 분류 기법 연구,이승민,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,혈뇌장벽누출에 대한 성상교세포 유래 분비 단백질의 생물학적 표지자 발굴 및 치매 조기진단 마커로의 활용성 연구,김종헌,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,초등교육공간 활성화를 위한 사용자 중심의 시지각 평가기법 개발연구,박선명,경북대학교,ICT·융합연구단,2020-06-01 ~ 2023-05-31,결과보고서
2023,정밀 측정 실험 과 인공지능기술을 통한 입자 물리학의 개척,ANDRES,경북대학교,자연과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,종양 표적 펩타이드 및 PD-L1 차단 펩타이드로 구성된 이중 펩타이드의 비유전공학적 표지를 통한 폐암에 대한 T 세포 치료기술 개발,GOWRIRANGASWAMYGU-NASSEKARAN,경북대학교,의약학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,논에서 벼 대체작물 참깨의 안정적인 생산을 위한 광합성세균과 바이오차의 활용 연구,강상모,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,축산용 완전혼합 발효사료(TMF) 제조공정 개발 및 최적 배합비율과 품질관리에 대한 연구,우승민,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,일차섬모 세포소기관 신규 조절인자의 기전 규명에 기반한 섬모이상질환 제어 기술 개발,배지은,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
2023,3D프린팅 기반 마이크로인큐베이터 시스템을 이용한 Xenopus 기관발생에서의 Mixer 기능 연구,채정필,경북대학교,생명과학단,2020-06-01 ~ 2023-05-31,결과보고서
