학교구분,학교명,지역,설립구분,주소,우편번호,홈페이지,대표번호,총장명,RnE협업실적
대학,경북대학교,대구,국립,대구광역시 북구 대학로 80,41566,www.knu.ac.kr,053-950-5114,허영우,12
대학,국립금오공과대학교,경북,국립,경상북도 구미시 대학로 61,39177,www.kumoh.ac.kr,054-478-7114,곽호상,0
대학,국립경국대학교,경북,국립,경상북도 안동시 경동로 1375,36729,www.andong.ac.kr/main/index.do,054-820-5114,정태주,0
대학,대구한의대학교,경북,사립,경상북도 경산시 한의대로 1,38610,www.dhu.ac.kr,053-819-1000,변창훈,0
대학,경일대학교,경북,사립,경상북도 경산시 하양읍 가마실길 50,38428,www.kiu.ac.kr,053-600-4000,정현태,0
대학,신경주대학교,경북,사립,경상북도 경주시 태종로 188,38065,sgu.ac.kr/ko/main.php,054-770-5114,김일윤,0
대학,계명대학교,대구,사립,대구광역시 달서구 달구벌대로 1095,42601,www.kmu.ac.kr,053-580-5114,신일희,0
대학,대구대학교,경북,사립,경상북도 경산시 진량읍 대구대로 201,38453,www.daegu.ac.kr,053-850-5000,박순진,0
대학,대구예술대학교,경북,사립,경상북도 칠곡군 가산면 다부거문1길 202,39851,www.dgau.ac.kr,054-970-5311,허용,0
대학,대구가톨릭대학교,경북,사립,경상북도 경산시 하양읍 하양로 13-13,38430,www.cu.ac.kr,053-850-3114,성한기,0
대학,대신대학교,경북,사립,경상북도 경산시 경청로222길 33,38649,www.daeshin.ac.kr,053-810-0701,최대해,0
대학,동양대학교,경북,사립,경상북도 영주시 풍기읍 동양대로 145,36040,www.dyu.ac.kr,054-630-1114,최성해,0
대학,영남대학교,경북,사립,경상북도 경산시 대학로 280,38541,www.yu.ac.kr,053-810-2114,최외출,5
대학,영남신학대학교,경북,사립,경상북도 경산시 진량읍 봉회1길 26,38451,www.ytus.ac.kr,053-850-0500,유재경,0
대학,위덕대학교,경북,사립,경상북도 경주시 강동면 동해대로 261,38004,www.uu.ac.kr,054-760-1096,구동현,0
