기관명,협업건수,연도범위,분야목록,대구경북소재
POSTECH,18,2024~2025,"수학, 융합, 정보, 화학",✓
DGIST,15,2024~2025,"물리, 수학, 융합, 정보, 화학",✓
경북대학교,12,2024~2025,"수학, 융합, 정보, 화학",✓
GIST,10,2024~2025,"융합, 정보, 지구과학, 화학",
서울대학교,10,2024~2025,"물리, 생명과학, 수학, 융합, 정보",
부산대학교,9,2024~2025,"생명과학, 수학, 융합, 화학",
한국화학연구원,8,2024~2025,"융합, 정보",
연세대학교,6,2024~2025,"융합, 정보, 지구과학",
국가수리과학연구소,6,2024~2025,"수학, 융합",
한국과학기술연구원(KIST),6,2024~2025,"생명과학, 융합",
동의대학교,5,2024~2024,"정보, 화학",
영남대학교,5,2024~2024,화학,✓
한국천문연구원,5,2024~2025,지구과학,
한국교원대학교,5,2024~2025,"수학, 정보, 화학",
한양대학교,5,2024~2024,"물리, 융합, 정보, 지구과학",
KAIST,4,2024~2025,수학,
충북대학교,3,2024~2025,"융합, 화학",
인하대학교,3,2024~2025,"융합, 정보, 화학",
충남대학교,3,2024~2024,"수학, 화학",
동국대학교,2,2024~2024,화학,
UNIST,2,2024~2024,"물리, 화학",
㈜코러스트(민간기업),2,2024~2024,수학,
한국표준과학연구원,2,2024~2024,융합,
한국전자통신연구원,2,2024~2024,"융합, 정보",
동서대학교,2,2024~2024,정보,
기초과학연구원(IBS),1,2025~2025,화학,
경남대학교,1,2024~2024,수학,
경희대학교,1,2024~2024,화학,
경상국립대학교,1,2024~2024,화학,
경성대학교,1,2024~2024,정보,
충북과학고등학교,1,2024~2024,융합,
창원대학교,1,2024~2024,물리,
전남대학교,1,2024~2024,수학,
아주대학교,1,2024~2024,정보,
부경대학교,1,2024~2024,화학,
동아대학교,1,2025~2025,수학,
삼천중학교,1,2024~2024,수학,
성균관대학교,1,2024~2024,수학,
한국과학영재학교,1,2024~2024,융합,
한국과학기술정보연구원,1,2024~2024,정보,
충청북도교육청,1,2025~2025,물리,
크립스항체연구소,1,2025~2025,생명과학,
충북자연과학교육원,1,2024~2024,지구과학,
한국기술연구원,1,2024~2024,융합,
한국기계연구원,1,2024~2024,융합,
한국항공우주연구원,1,2024~2024,물리,
